drug_name,dilirank_compound,dili_concern,dili_severity_class,max_daily_dose_mg,dose_basis,dose_note,dose_review_status,route,pubchem_cid,inchikey,smiles,mol_weight,pubchem_xlogp3,paper_logp,paper_ro2_test
zalcitabine,zalcitabine,Most-DILI-Concern,,2.25,chen-2013,,published,oral,24066,WREGKURFCTUGRC-POYBYMJQSA-N,C1C[C@@H](O[C@@H]1CO)N2C=CC(=NC2=O)N,211.22,-1.3,-1.0,Negative
methyldopa,methyldopa,Most-DILI-Concern,,1000,chen-2013,,published,oral,38853,CJCSPKMFHVPWAR-JTQLQIEISA-N,C[C@](CC1=CC(=C(C=C1)O)O)(C(=O)O)N,211.21,-1.9,-1.8,Negative
acarbose,acarbose,Most-DILI-Concern,,300,chen-2013,,published,oral,9811704,CEMXHAPUFJOOSV-XGWNLRGSSA-N,C[C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@@H]([C@@H]([C@H]2O)O)O[C@H]([C@@H](CO)O)[C@@H]([C@H](C=O)O)O)CO)O)O)N[C@H]3C=C([C@H]([C@@H]([C@H]3O)O)O)CO,645.6,-8.8,-6.8,Negative
lactulose,lactulose,No-DILI-Concern,,6700,chen-2013,,published,oral,11333,JCQLYHFGKNRPGE-FCVZTGTOSA-N,C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](O[C@@]([C@H]2O)(CO)O)CO)O)O)O)O,342.30,-4.3,-4.3,Negative
betaine,betaine,No-DILI-Concern,,6000,chen-2013,,published,oral,247,KWIUHFFTVRNATP-UHFFFAOYSA-N,C[N+](C)(C)CC(=O)[O-],117.15,0.5,-3.0,Negative
neomycin,neomycin,No-DILI-Concern,,5000,chen-2013,,published,oral,8378,PGBHMTALBVVCIT-VCIWKGPPSA-N,C1[C@H]([C@@H]([C@H]([C@@H]([C@H]1N)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CN)O)O)N)O[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O[C@@H]4[C@@H]([C@H]([C@@H]([C@@H](O4)CN)O)O)N)O)O)N,614.6,-9,-9.0,Negative
metyrapone,metyrapone,No-DILI-Concern,,3000,chen-2013,,published,oral,4174,FJLBFSROUSIWMA-UHFFFAOYSA-N,CC(C)(C1=CN=CC=C1)C(=O)C2=CN=CC=C2,226.27,2,1.8,Negative
paromomycin,paromomycin,No-DILI-Concern,,3000,chen-2013,,published,oral,165580,UOZODPSAJZTQNH-LSWIJEOBSA-N,C1[C@H]([C@@H]([C@H]([C@@H]([C@H]1N)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)N)O[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O[C@@H]4[C@@H]([C@H]([C@@H]([C@@H](O4)CN)O)O)N)O)O)N,615.6,-8.7,-8.7,Negative
metronidazole,metronidazole,No-DILI-Concern,,2000,chen-2013,,published,oral,4173,VAOCPAMSLUNLGC-UHFFFAOYSA-N,CC1=NC=C(N1CCO)[N+](=O)[O-],171.15,0,-0.3,Negative
tranexamic acid,tranexamic acid,No-DILI-Concern,,2000,chen-2013,,published,oral,5526,GYDJEQRTZSCIOI-UHFFFAOYSA-N,C1CC(CCC1CN)C(=O)O,157.21,-2,-1.8,Negative
vancomycin,vancomycin,No-DILI-Concern,,2000,chen-2013,,published,oral,14969,MYPYJXKWCTUITO-LYRMYLQWSA-N,C[C@H]1[C@H]([C@@](C[C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2OC3=C4C=C5C=C3OC6=C(C=C(C=C6)[C@H]([C@H](C(=O)N[C@H](C(=O)N[C@H]5C(=O)N[C@@H]7C8=CC(=C(C=C8)O)C9=C(C=C(C=C9O)O)[C@H](NC(=O)[C@H]([C@@H](C1=CC(=C(O4)C=C1)Cl)O)NC7=O)C(=O)O)CC(=O)N)NC(=O)[C@@H](CC(C)C)NC)O)Cl)CO)O)O)(C)N)O,1449.2,-2.6,-2.9,Negative
levocarnitine,levocarnitine,No-DILI-Concern,,2000,chen-2013,,published,oral,10917,PHIQHXFUZVPYII-ZCFIWIBFSA-N,C[N+](C)(C)C[C@@H](CC(=O)[O-])O,161.20,-0.2,-3.3,Negative
primidone,primidone,No-DILI-Concern,,1250,chen-2013,,published,oral,4909,DQMZLTXERSFNPB-UHFFFAOYSA-N,CCC1(C(=O)NCNC1=O)C2=CC=CC=C2,218.25,0.9,0.9,Negative
metyrosine,metyrosine,No-DILI-Concern,,1000,chen-2013,,published,oral,441350,NHTGHBARYWONDQ-JTQLQIEISA-N,C[C@](CC1=CC=C(C=C1)O)(C(=O)O)N,195.21,-1.6,-1.5,Negative
benzonatate,benzonatate,No-DILI-Concern,,600,chen-2013,,published,oral,7699,MAFMQEKGGFWBAB-UHFFFAOYSA-N,CCCCNC1=CC=C(C=C1)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC,603.7,2.4,1.6,Negative
etidronic acid,etidronic acid,No-DILI-Concern,,400,chen-2013,,published,oral,3305,DBVJJBKOTRCVKF-UHFFFAOYSA-N,CC(O)(P(=O)(O)O)P(=O)(O)O,206.03,-3.7,-0.7,Negative
nystatin,nystatin,No-DILI-Concern,,100,chen-2013,,published,oral,6433272,VQOXZBDYSJBXMA-RKEBNKJGSA-N,C[C@H]1/C=C/C=C/CC/C=C/C=C/C=C/C=C/C(CC2C(C(C[C@](O2)(CC(C(CCC(CC(CC(CC(=O)O[C@H]([C@@H]([C@@H]1O)C)C)O)O)O)O)O)O)O)C(=O)O)O[C@@H]3[C@H]([C@H]([C@@H]([C@H](O3)C)O)N)O,926.1,-0.2,-2.6,Negative
isoproterenol,isoproterenol,No-DILI-Concern,,90,chen-2013,,published,oral,3779,JWZZKOKVBUJMES-UHFFFAOYSA-N,CC(C)NCC(C1=CC(=C(C=C1)O)O)O,211.26,-0.6,1.1,Negative
metaproterenol,metaproterenol,No-DILI-Concern,,90,chen-2013,,published,oral,4086,LMOINURANNBYCM-UHFFFAOYSA-N,CC(C)NCC(C1=CC(=CC(=C1)O)O)O,211.26,0.7,1.1,Negative
hydroxyzine,hydroxyzine,No-DILI-Concern,,75,chen-2013,,published,oral,3658,ZQDWXGKKHFNSQK-UHFFFAOYSA-N,C1CN(CCN1CCOCCO)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,374.9,3.7,3.5,Negative
benzphetamine,benzphetamine,No-DILI-Concern,,50,chen-2013,,published,oral,5311017,YXKTVDFXDRQTKV-HNNXBMFYSA-N,C[C@@H](CC1=CC=CC=C1)N(C)CC2=CC=CC=C2,239.35,4.1,4.2,Negative
meclizine,meclizine,No-DILI-Concern,,50,chen-2013,,published,oral,4034,OCJYIGYOJCODJL-UHFFFAOYSA-N,CC1=CC(=CC=C1)CN2CCN(CC2)C(C3=CC=CC=C3)C4=CC=C(C=C4)Cl,390.9,5.8,6.2,Negative
bethanechol,bethanechol,No-DILI-Concern,,45,chen-2013,,published,oral,2370,NZUPCNDJBJXXRF-UHFFFAOYSA-O,CC(C[N+](C)(C)C)OC(=O)N,161.22,0,-1.0,Negative
penbutolol,penbutolol,No-DILI-Concern,,40,chen-2013,,published,oral,37464,KQXKVJAGOJTNJS-HNNXBMFYSA-N,CC(C)(C)NC[C@@H](COC1=CC=CC=C1C2CCCC2)O,291.4,4.2,3.6,Negative
phendimetrazine,phendimetrazine,No-DILI-Concern,,35,chen-2013,,published,oral,30487,MFOCDFTXLCYLKU-CMPLNLGQSA-N,C[C@H]1[C@@H](OCCN1C)C2=CC=CC=C2,191.27,1.9,2.0,Negative
chlorhexidine,chlorhexidine,No-DILI-Concern,,30,chen-2013,,published,oral,9552079,GHXZTYHSJHQHIJ-UHFFFAOYSA-N,C1=CC(=CC=C1N/C(=N/C(=NCCCCCCN=C(/N=C(/NC2=CC=C(C=C2)Cl)\N)N)N)/N)Cl,505.4,0.1,3.1,Negative
guanethidine,guanethidine,No-DILI-Concern,,30,chen-2013,,published,oral,3518,ACGDKVXYNVEAGU-UHFFFAOYSA-N,C1CCCN(CCC1)CCN=C(N)N,198.31,0.5,1.2,Negative
phenoxybenzamine,phenoxybenzamine,No-DILI-Concern,,30,chen-2013,,published,oral,4768,QZVCTJOXCFMACW-UHFFFAOYSA-N,CC(COC1=CC=CC=C1)N(CCCl)CC2=CC=CC=C2,303.8,4.4,4.6,Negative
procyclidine,procyclidine,No-DILI-Concern,,25,chen-2013,,published,oral,4919,WYDUSKDSKCASEF-UHFFFAOYSA-N,C1CCC(CC1)C(CCN2CCCC2)(C3=CC=CC=C3)O,287.4,4.1,4.0,Negative
minoxidil,minoxidil,No-DILI-Concern,,20,chen-2013,,published,oral,4201,ZIMGGGWCDYVHOY-UHFFFAOYSA-N,C1CCN(CC1)C2=NC(=N)N(C(=C2)N)O,209.25,1.2,0.2,Negative
carbinoxamine,carbinoxamine,No-DILI-Concern,,16,chen-2013,,published,oral,2564,OJFSXZCBGQGRNV-UHFFFAOYSA-N,CN(C)CCOC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2,290.79,2.9,3.2,Negative
oxybutynin,oxybutynin,No-DILI-Concern,,15,chen-2013,,published,oral,4634,XIQVNETUBQGFHX-UHFFFAOYSA-N,CCN(CC)CC#CCOC(=O)C(C1CCCCC1)(C2=CC=CC=C2)O,357.5,4.2,4.6,Negative
phentermine,phentermine,No-DILI-Concern,,15,chen-2013,,published,oral,4771,DHHVAGZRUROJKS-UHFFFAOYSA-N,CC(C)(CC1=CC=CC=C1)N,149.23,1.9,1.8,Negative
primaquine,primaquine,No-DILI-Concern,,15,chen-2013,,published,oral,4908,INDBQLZJXZLFIT-UHFFFAOYSA-N,CC(CCCN)NC1=C2C(=CC(=C1)OC)C=CC=N2,259.35,2.2,2.0,Negative
albuterol,albuterol,No-DILI-Concern,,12,chen-2013,,published,oral,2083,NDAUXUAQIAJITI-UHFFFAOYSA-N,CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O,239.31,0.3,0.9,Negative
alendronate,alendronate,No-DILI-Concern,,10,chen-2013,,published,oral,2088,OGSPWJRAVKPPFI-UHFFFAOYSA-N,C(CC(O)(P(=O)(O)O)P(=O)(O)O)CN,249.10,-6.5,-1.2,Negative
biperiden,biperiden,No-DILI-Concern,,10,chen-2013,,published,oral,2381,YSXKPIUOCJLQIE-UHFFFAOYSA-N,C1CCN(CC1)CCC(C2CC3CC2C=C3)(C4=CC=CC=C4)O,311.5,4.3,3.6,Negative
phentolamine,phentolamine,No-DILI-Concern,,10,chen-2013,,published,oral,5775,MRBDMNSDAVCSSF-UHFFFAOYSA-N,CC1=CC=C(C=C1)N(CC2=NCCN2)C3=CC(=CC=C3)O,281.35,2.6,3.0,Negative
dihydroergotamine,dihydroergotamine,No-DILI-Concern,,4,chen-2013,,published,oral,10531,LUZRJRNZXALNLM-JGRZULCMSA-N,C[C@@]1(C(=O)N2[C@H](C(=O)N3CCC[C@H]3[C@@]2(O1)O)CC4=CC=CC=C4)NC(=O)[C@@H]5C[C@H]6[C@@H](CC7=CNC8=CC=CC6=C78)N(C5)C,583.7,2.4,3.2,Negative
methysergide,methysergide,No-DILI-Concern,,4,chen-2013,,published,oral,9681,KPJZHOPZRAFDTN-ZRGWGRIASA-N,CC[C@@H](CO)NC(=O)[C@H]1CN([C@@H]2CC3=CN(C4=CC=CC(=C34)C2=C1)C)C,353.5,2.3,2.3,Negative
benztropine,benztropine,No-DILI-Concern,,2,chen-2013,,published,oral,1201549,GIJXKZJWITVLHI-YOFSQIOKSA-N,CN1[C@@H]2CC[C@H]1CC(C2)OC(C3=CC=CC=C3)C4=CC=CC=C4,307.4,4.5,3.9,Negative
clemastine,clemastine,No-DILI-Concern,,2,chen-2013,,published,oral,26987,YNNUSGIPVFPVBX-NHCUHLMSSA-N,C[C@@](C1=CC=CC=C1)(C2=CC=C(C=C2)Cl)OCC[C@H]3CCCN3C,343.9,5,4.8,Negative
ergocalciferol,ergocalciferol,No-DILI-Concern,,1.25,chen-2013,,published,oral,5280793,MECHNRXZTMCUDQ-RKHKHRCZSA-N,C[C@H](/C=C/[C@H](C)C(C)C)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C/3\C[C@H](CCC3=C)O)C,396.6,7.4,7.6,Negative
atropine,atropine,No-DILI-Concern,,1.2,chen-2013,,published,oral,174174,RKUNBYITZUJHSG-PJPHBNEVSA-N,CN1[C@@H]2CC[C@H]1CC(C2)OC(=O)C(CO)C3=CC=CC=C3,289.4,1.8,1.7,Negative
folic acid,folic acid,No-DILI-Concern,,0.4,chen-2013,,published,oral,135398658,OVBPIULPVIDEAO-LBPRGKRZSA-N,C1=CC(=CC=C1C(=O)N[C@@H](CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)NC(=N3)N,441.4,-1.1,-0.2,Negative
tamsulosin,tamsulosin,No-DILI-Concern,,0.4,chen-2013,,published,oral,129211,DRHKJLXJIQTDTD-OAHLLOKOSA-N,CCOC1=CC=CC=C1OCCN[C@H](C)CC2=CC(=C(C=C2)OC)S(=O)(=O)N,408.5,2.7,2.7,Negative
digoxin,digoxin,No-DILI-Concern,,0.25,chen-2013,,published,oral,2724385,LTMHDMANZUZIPE-PUGKRICDSA-N,C[C@@H]1[C@H]([C@H](C[C@@H](O1)O[C@@H]2[C@H](O[C@H](C[C@@H]2O)O[C@@H]3[C@H](O[C@H](C[C@@H]3O)O[C@H]4CC[C@]5([C@@H](C4)CC[C@@H]6[C@@H]5C[C@H]([C@]7([C@@]6(CC[C@@H]7C8=CC(=O)OC8)O)C)O)C)C)C)O)O,780.9,1.3,2.0,Negative
liothyronine,liothyronine,No-DILI-Concern,,0.06,chen-2013,,published,oral,5920,AUYYCJSJGJYCDS-LBPRGKRZSA-N,C1=CC(=C(C=C1OC2=C(C=C(C=C2I)C[C@@H](C(=O)O)N)I)I)O,650.97,1.7,1.4,Negative
cyanocobalamin,cyanocobalamin,No-DILI-Concern,,0.001,chen-2013,,published,oral,166596686,RMRCNWBMXRMIRW-WZHZPDAFSA-L,CC1=CC2=C(C=C1C)[N+](=CN2)[C@@H]3[C@@H]([C@@H]([C@H](O3)CO)OP(=O)(O)O[C@H](C)CNC(=O)CC[C@@]4([C@H]([C@@H]5[C@]6([C@@]([C@@H](C(=N6)/C(=C\7/[C@@]([C@@H](/C(=C/C8=N/C(=C(\C4=N5)/C)/[C@H](C8(C)C)CCC(=N)[O-])/N7)CCC(=N)[O-])(C)CC(=O)N)/C)CCC(=N)[O-])(C)CC(=O)N)C)CC(=O)N)C)O,1355.4,,0.0,Negative
